,id,key,attack,defense,magic,difficulty,tags,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
53,Katarina,55,4,3,9,8,"['Assassin', 'Mage']",602,94,0,0,340,27.88,3.5,32.1,1.25,125,7.5,0.7,0,0,0,0,58,3.2,2.74,0.658
54,Kayle,10,6,6,7,7,"['Fighter', 'Support']",600,85,330,50,335,26,3,34,0.5,175,5,0.5,8,0.8,0,0,50,2.5,1.5,0.625
55,Kayn,141,10,6,1,8,"['Fighter', 'Assassin']",585,85,410,50,340,38,3.3,32.1,1.25,175,8,0.75,11.5,0.95,0,0,68,3.3,2.7,0.669
56,Kennen,85,6,4,7,4,"['Mage', 'Marksman']",541,84,200,0,335,29,3.75,30,0.5,550,5.5,0.65,50,0,0,0,48,3.75,3.4,0.625
57,Khazix,121,9,4,3,6,['Assassin'],572.8,85,327.2,40,350,36,3,32.1,1.25,125,7.5,0.75,7.59,0.5,0,0,63,3.1,2.7,0.668
58,Kindred,203,8,2,2,4,['Marksman'],540,85,300,35,325,29,3.5,30,0.5,500,7,0.55,7,0.4,0,0,65,2.5,3.5,0.625
59,Kled,240,8,2,2,7,"['Fighter', 'Tank']",340,70,100,0,345,35,4,32.1,1.25,125,6,0.75,0,0,0,0,65,3.5,3.5,0.625
60,KogMaw,96,8,2,5,6,"['Marksman', 'Mage']",565,90,325,40,330,24,3.5,30,0.5,500,3.75,0.55,8.75,0.7,0,0,61,3.11,2.65,0.665
61,Leblanc,7,1,4,10,9,"['Assassin', 'Mage']",528,92,334,50,340,21.88,3.5,30,0.5,525,7.5,0.55,6,0.8,0,0,54.88,3.5,1.4,0.625
62,LeeSin,64,8,5,3,6,"['Fighter', 'Assassin']",575,85,200,0,345,33,3.7,32.1,1.25,125,7.5,0.7,50,0,0,0,70,3.2,3,0.651
63,Leona,89,4,8,3,4,"['Tank', 'Support']",576.16,87,302.2,40,335,47,3.6,32.1,1.25,125,8.5,0.85,6,0.8,0,0,60.04,3,2.9,0.625
64,Lillia,876,0,2,10,8,"['Fighter', 'Mage']",580,90,410,50,330,20,4,32.1,0.75,325,9,0.75,11.5,0.95,0,0,61,3.1,2.7,0.625
65,Lissandra,127,2,5,8,6,['Mage'],550,90,475,30,325,22,3.7,30,0.5,550,7,0.55,8,0.4,0,0,53,2.7,1.36,0.656
66,Lucian,236,8,5,3,6,['Marksman'],571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.176,0.7,0,0,64,2.75,3.3,0.638
67,Lulu,117,4,5,7,5,"['Support', 'Mage']",525,74,350,55,330,29,3.7,30,0.5,550,6,0.6,11,0.6,0,0,47,2.6,2.25,0.625
68,Lux,99,2,4,9,5,"['Mage', 'Support']",490,85,480,23.5,330,18.72,4,30,0.5,550,5.5,0.55,8,0.8,0,0,53.54,3.3,1,0.669
69,Malphite,54,5,9,7,2,"['Tank', 'Fighter']",574.2,90,282.2,40,335,37,3.75,32.1,1.25,125,7,0.55,7.324,0.55,0,0,61.97,4,3.4,0.736
70,Malzahar,90,2,2,9,6,"['Mage', 'Assassin']",537,87,375,27.5,335,18,3.5,30,0.5,500,6,0.6,8,0.8,0,0,55,3,1.5,0.625
71,Maokai,57,3,8,6,3,"['Tank', 'Mage']",565,95,375,43,335,39,4,32.1,1.25,125,5,0.75,7.2,0.6,0,0,63.54,3.3,2.125,0.8
72,MasterYi,11,10,4,2,4,"['Assassin', 'Fighter']",598.56,92,250.56,42,355,33,3,32.1,1.25,125,7.5,0.65,7.256,0.45,0,0,66,3,2,0.679
73,MissFortune,21,8,2,5,1,['Marksman'],570,93,325.84,35,325,28,3,30,0.5,550,3.75,0.65,8.042,0.65,0,0,52,2.7,2.25,0.656
74,MonkeyKing,62,8,5,2,3,"['Fighter', 'Tank']",540,85,300,45,345,31,3.5,28,1.25,175,4,0.65,8,0.65,0,0,68,4,3,0.711
75,Mordekaiser,82,4,6,7,4,['Fighter'],575,90,100,0,335,37,3,32,1.25,175,5,0.75,0,0,0,0,61,4,1,0.625
76,Morgana,25,1,6,8,1,"['Mage', 'Support']",560,90,340,60,335,25,3.8,30,0.5,450,5.5,0.4,11,0.4,0,0,56,3.5,1.53,0.625
77,Nami,267,4,3,7,5,"['Support', 'Mage']",475,74,365,43,335,29,4,30,0.5,550,5.5,0.55,11.5,0.4,0,0,51.208,3.1,2.61,0.644
78,Nasus,75,7,5,6,6,"['Fighter', 'Tank']",561.2,90,325.6,42,350,34,3.5,32.1,1.25,125,9,0.9,7.44,0.5,0,0,67,3.5,3.48,0.638
79,Nautilus,111,4,6,6,6,"['Tank', 'Fighter']",576.48,86,400,47,325,39,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,0,0,61,3.3,1,0.706
80,Neeko,518,1,1,9,5,"['Mage', 'Support']",540,90,450,30,340,21,4,30,0.5,550,7.5,0.75,7,0.7,0,0,48,2.5,3.5,0.625
81,Nidalee,76,5,4,7,8,"['Assassin', 'Mage']",545,85,295.6,45,335,28,3.5,30,0.5,525,6,0.6,6,0.8,0,0,61,3.5,3.22,0.638
82,Nocturne,56,9,5,2,4,"['Assassin', 'Fighter']",585,85,275,35,345,38,3.5,32.1,0.75,125,7,0.75,7,0.45,0,0,62,3.1,2.7,0.721
83,Nunu,20,4,6,7,4,"['Tank', 'Fighter']",570,82,280,42,345,32,3,32.1,1.25,125,5,0.8,7,0.5,0,0,61,3,2.25,0.625
84,Olaf,2,9,5,3,3,"['Fighter', 'Tank']",597.24,93,315.6,42,350,35,3,32.1,1.25,125,8.5,0.9,7.466,0.575,0,0,68,3.5,2.7,0.694
85,Orianna,61,4,3,9,7,"['Mage', 'Support']",530,91,418,25,325,17.04,3,26,0.5,525,7,0.55,8,0.8,0,0,40.368,2.6,3.5,0.658
86,Ornn,516,5,9,3,5,"['Tank', 'Fighter']",590,95,340.6,45,335,33,4,32.1,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625
87,Pantheon,80,9,4,3,4,"['Fighter', 'Assassin']",580,95,317.12,31,355,40,3.75,28,1.25,175,10,0.65,7.356,0.45,0,0,64,3.3,2.95,0.644
88,Poppy,78,6,7,2,6,"['Tank', 'Fighter']",540,90,280,40,345,38,3.5,32,1.25,125,8,0.8,7,0.7,0,0,64,4,2.5,0.625
89,Pyke,555,9,3,1,7,"['Support', 'Assassin']",600,90,415,50,330,45,3.5,32,1.25,150,7,0.5,8,1,0,0,62,2,2.5,0.667
90,Qiyana,246,0,2,4,8,"['Assassin', 'Fighter']",590,90,320,50,335,28,3.5,32.1,1.25,150,8.5,0.65,8,0.7,0,0,64,3.1,2.1,0.625
91,Quinn,133,9,4,2,5,"['Marksman', 'Assassin']",532.8,85,268.8,35,335,28,3.5,30,0.5,525,5.5,0.55,6.972,0.4,0,0,59,2.4,3.1,0.668
92,Rakan,497,2,4,8,5,['Support'],540,85,315,50,335,32,3.9,32.1,1.25,300,5,0.5,8.75,0.5,0,0,62,3.5,3,0.635
93,Rammus,33,4,10,5,5,"['Tank', 'Fighter']",564.48,95,310.44,33,335,36,4.3,32.1,1.25,125,8,0.55,7.84,0.5,0,0,55.88,3.5,2.215,0.656
94,RekSai,421,8,5,2,3,['Fighter'],570,85,100,0,335,36,3.75,32.1,1.25,175,7.5,0.65,0,0,0,0,64,3,2,0.667
95,Renekton,58,8,5,2,3,"['Fighter', 'Tank']",575,87,100,0,345,35,4,32.1,1.25,125,8,0.75,0,0,0,0,69,3.75,2.75,0.665
96,Rengar,107,7,4,2,8,"['Assassin', 'Fighter']",585,90,4,0,345,34,3,32.1,1.25,125,7,0.5,0,0,0,0,68,3,3,0.667
97,Riven,92,8,5,1,8,"['Fighter', 'Assassin']",560,86,0,0,340,33,3.2,32.1,1.25,125,8.5,0.5,0,0,0,0,64,3,3.5,0.625
98,Rumble,68,3,6,8,10,"['Fighter', 'Mage']",589,85,100,0,345,31,3.5,32.1,1.25,125,8,0.6,0,0,0,0,61,3.2,1.85,0.644
99,Ryze,13,2,2,10,7,"['Mage', 'Fighter']",575,98,300,50,340,22,3,36,0.5,550,8,0.8,8,1,0,0,58,3,2.112,0.625
100,Sejuani,113,5,7,6,4,"['Tank', 'Fighter']",560,100,400,40,340,34,4.25,32.1,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688
101,Senna,235,7,2,6,7,"['Marksman', 'Support']",520,75,350,45,330,28,3.5,30,0.5,600,3.5,0.55,11.5,0.4,0,0,50,0,4,0.625
102,Sett,875,8,5,1,2,"['Fighter', 'Tank']",600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625
103,Shaco,35,8,4,6,9,['Assassin'],587,89,297.2,40,350,30,3.5,32.1,1.25,125,8.5,0.55,7.156,0.45,0,0,63,3,3,0.694
104,Shen,98,3,9,3,4,['Tank'],540,85,400,0,340,34,3,32.1,1.25,125,8.5,0.75,50,0,0,0,60,3,3,0.751
105,Shyvana,102,8,6,3,4,"['Fighter', 'Tank']",595,95,100,0,350,38,3.35,32.1,1.25,125,8.5,0.8,0,0,0,0,66,3.4,2.5,0.658
106,Singed,27,4,8,7,5,"['Tank', 'Fighter']",580,85,330,45,345,34,3.5,32.1,1.25,125,9.5,0.55,7.5,0.55,0,0,63,3.375,1.9,0.613
107,Sion,14,5,9,3,5,"['Tank', 'Fighter']",545,73,330,42,345,32,3,32.1,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679
108,Sivir,15,9,3,1,4,['Marksman'],562,90,284,50,335,26,3.25,30,0.5,500,3.25,0.55,8,0.9,0,0,63,3,1.6,0.625
109,Skarner,72,7,6,5,5,"['Fighter', 'Tank']",601.28,90,320,40,335,38,3.8,32.1,1.25,125,9,0.85,7.206,0.45,0,0,65,4.5,2.1,0.625
110,Sona,37,5,2,8,4,"['Support', 'Mage']",482.36,77,340.6,45,325,28,3.3,30,0.5,550,5.5,0.55,11.5,0.4,0,0,49,3,2.3,0.644
111,Soraka,16,2,5,7,3,"['Support', 'Mage']",535,74,425,40,325,32,3.8,30,0.5,550,2.5,0.5,11.5,0.4,0,0,50,3,2.14,0.625
112,Swain,50,2,6,9,8,"['Mage', 'Fighter']",525,85,468,28.5,325,22.72,4,30,0.5,525,7,0.65,8,0.8,0,0,58,2.7,2.11,0.625
113,Sylas,517,3,4,8,5,"['Mage', 'Assassin']",525,115,280,50,340,27,4,32,1.75,175,9,0.9,7,0.8,0,0,61,3,3.5,0.645
114,Syndra,134,2,3,9,8,"['Mage', 'Support']",523,90,480,40,330,24.712,3.4,30,0.5,550,6.5,0.6,8,0.8,0,0,53.872,2.9,2,0.625
115,TahmKench,223,3,9,6,5,"['Support', 'Tank']",600,100,325,40,335,47,3.5,32.1,1.25,175,6.5,0.55,8,1,0,0,56,3.2,2.5,0.658
116,Taliyah,163,1,7,8,5,"['Mage', 'Support']",532,90,425,30,335,20,3.5,30,0.5,525,7,0.7,9.335,0.85,0,0,58,3.3,1.36,0.625
117,Talon,91,9,3,1,7,['Assassin'],588,95,377.2,37,335,30,3.5,39,1.25,125,8.5,0.75,7.6,0.8,0,0,68,3.1,2.9,0.625
118,Taric,44,4,8,5,3,"['Support', 'Fighter']",575,85,300,60,340,40,3.4,32.1,1.25,150,6,0.5,8.5,0.8,0,0,55,3.5,2,0.625
119,Teemo,17,5,3,7,6,"['Marksman', 'Assassin']",528,90,334,20,330,24.3,3.75,30,0.5,500,5.5,0.65,9.6,0.45,0,0,54,3,3.38,0.69
120,Thresh,412,5,6,6,7,"['Support', 'Fighter']",560.52,93,273.92,44,335,28,0,30,0.5,450,7,0.55,6,0.8,0,0,56,2.2,3.5,0.625
121,Tristana,18,9,3,5,4,"['Marksman', 'Assassin']",559,88,250,32,325,26,3,30,0.5,525,3.75,0.65,7.2,0.45,0,0,61,3.3,1.5,0.656
122,Trundle,48,7,6,2,5,"['Fighter', 'Tank']",616,96,281,45,350,37,2.7,32.1,1.25,175,6,0.75,7.5,0.6,0,0,68,3,2.9,0.67
123,Tryndamere,23,10,5,2,5,"['Fighter', 'Assassin']",625.64,98,100,0,345,33,3.1,32.1,1.25,125,8.5,0.9,0,0,0,0,69,3.7,2.9,0.67
124,TwistedFate,4,6,2,6,9,['Mage'],534,94,333,19,335,21,3.15,30,0.5,525,5.5,0.6,8,0.8,0,0,52,3.3,3.22,0.651
125,Twitch,29,9,2,3,6,"['Marksman', 'Assassin']",612,86,287.2,40,330,27,3,30,0.5,550,3.75,0.6,7.256,0.45,0,0,59,3.11,3.38,0.679
126,Udyr,77,8,7,4,7,"['Fighter', 'Tank']",594,99,271,30,350,34,4,32.1,1.25,125,6,0.75,7.5,0.45,0,0,66,5,2.67,0.658
127,Urgot,6,8,5,3,8,"['Fighter', 'Tank']",585,88,340,45,330,36,4.25,32.1,1.25,350,7.5,0.7,7.25,0.8,0,0,63,4,3.75,0.625
128,Varus,110,7,3,4,2,"['Marksman', 'Mage']",530,91,360,33,330,27,3.4,30,0.5,575,3.5,0.55,8,0.8,0,0,61,3,3,0.658
129,Vayne,67,10,1,1,8,"['Marksman', 'Assassin']",515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.972,0.4,0,0,60,2.36,3.3,0.658
130,Veigar,45,2,2,10,7,['Mage'],505,94,490,26,340,23,3.75,32,0.5,550,6.5,0.6,8,0.8,0,0,52,2.7,2.24,0.625
131,Velkoz,161,2,2,10,8,['Mage'],520,88,469,21,340,21.88,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,54.9379,3.1416,1.36,0.625
132,Vi,254,8,5,3,4,"['Fighter', 'Assassin']",585,85,295,45,340,30,4,32.1,1.25,125,10,1,8,0.65,0,0,63,3.5,2,0.644
133,Viktor,112,2,4,10,9,['Mage'],530,90,405,25,335,23,4,30,0.5,525,8,0.65,8,0.8,0,0,53,3,2.11,0.658
134,Vladimir,8,2,6,8,7,['Mage'],537,96,2,0,330,23,3.3,30,0.5,450,7,0.6,0,0,0,0,55,3,2,0.658
135,Volibear,106,7,7,4,3,"['Fighter', 'Tank']",580,90,350,50,340,31,4,32,1.25,150,9,0.75,6.25,0.5,0,0,60,3,2,0.625
136,Warwick,19,9,5,3,3,"['Fighter', 'Tank']",550,85,280,35,335,33,3.2,32.1,1.25,125,4,0.75,7.466,0.575,0,0,65,3,2.3,0.638
137,Xayah,498,10,6,1,5,['Marksman'],590,88,340,40,325,25,3,30,0.5,525,3.25,0.75,8.25,0.75,0,0,60,2.9,3.3,0.625
138,Xerath,101,1,3,10,8,['Mage'],526,92,459,22,340,21.88,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,54.7,3,1.36,0.625
139,XinZhao,5,8,6,3,2,"['Fighter', 'Assassin']",570,92,273.8,35,345,35,3.5,32.1,1.25,175,8,0.7,7.256,0.45,0,0,66,3,3.5,0.645
140,Yasuo,157,8,4,4,10,"['Fighter', 'Assassin']",490,87,100,0,345,30,3.4,32,1.25,175,6.5,0.9,0,0,0,0,60,3.2,2.5,0.697
141,Yone,777,8,4,4,8,"['Assassin', 'Fighter']",550,85,500,0,345,28,3.4,32,1.25,175,7.5,0.75,0,0,0,0,60,3,2.5,0.625
142,Yorick,83,6,6,4,6,"['Fighter', 'Tank']",580,100,300,40,340,39,4,32,1.25,175,8,0.8,7.5,0.75,0,0,62,5,2,0.625
143,Yuumi,350,5,1,8,2,"['Support', 'Mage']",480,70,400,45,330,25,3,25,0.3,500,7,0.55,10,0.4,0,0,55,3.1,1,0.625
144,Zac,154,3,7,7,8,"['Tank', 'Fighter']",615,95,0,0,340,33,3.5,32,1.25,175,8,0.5,0,0,0,0,60,3.4,1.6,0.736
145,Zed,238,9,2,1,7,['Assassin'],584,85,200,0,345,32,3.5,32.1,1.25,125,7,0.65,50,0,0,0,63,3.4,3.3,0.651
146,Ziggs,115,2,4,9,4,['Mage'],536,92,480,23.5,325,21.544,3.3,30,0.5,550,6.5,0.6,8,0.8,0,0,54.208,3.1,2,0.656
147,Zilean,26,2,5,8,6,"['Support', 'Mage']",504,82,452,30,335,24,3.8,30,0.5,550,5.5,0.5,11.335,0.8,0,0,51.64,3,2.13,0.625
148,Zoe,142,1,7,8,5,"['Mage', 'Support']",560,92,425,25,340,20.8,3.5,30,0.5,550,6.5,0.6,8,0.65,0,0,58,3.3,2.5,0.625
149,Zyra,143,4,3,8,7,"['Mage', 'Support']",504,79,418,25,340,29,3,30,0.5,575,5.5,0.5,13,0.4,0,0,53.376,3.2,2.11,0.625
150,Samira,0,8,5,3,6,['Marksman'],,,,,,,,,,,,,,,,,,,,
151,Seraphine,0,4,3,8,5,"['Mage', 'Support']",,,,,,,,,,,,,,,,,,,,
